,formula
92,"A ( r ) = K ( \omega , \alpha ) r ^ { 4 \omega / ( 1 + \omega ) }"
93,"\left[ K _ { a } , P _ { b } \right] = - m \delta _ { a b } \cdot P _ { + } \quad ,"
94,\tilde { G } ( x ) = - \frac { 1 } { 2 \pi ^ { 2 } } \operatorname { l n } \frac { | x | } { a } .
95,{ \int _ { 0 } ^ { \infty } } d x \delta ( x - \alpha _ { 1 } - \alpha _ { 2 } ) = 1
96,h \gamma ^ { i } \partial _ { i } \chi = i \omega \gamma ^ { 0 } \chi
97,"x _ { c , N } \rightarrow \left( 4 N / e \lambda \right) ^ { 1 / 4 } ."
98,\hat { V } = : \int d x \frac { \lambda } { 4 ! } \hat { \phi ^ { 4 } } :
99,"a _ { s } = a e ^ { \Phi } , \qquad d t _ { s } = e ^ { \Phi } d t ."
100,E \; = \; E _ { Y - M } \; + \; E _ { D } \;
101,M _ { i } D _ { 0 } ^ { 2 } \delta _ { i k } M _ { k } = M _ { i } K _ { i k } M _ { k }
102,"R _ { \mu \nu } = \frac { \partial J _ { \mu \nu } ^ { \sigma } } { \partial x ^ { \sigma } } ,"
103,"\Phi = \sqrt { \frac { 2 m ^ { 2 } } { \lambda } } e ^ { i \theta } F ( \rho ) ,"
104,"c ) \, \, \, \, \, \, \, \, \, \, \, \, \, \, \, \, \alpha = n + 1 / 2 ,"
105,"[ x ^ { \sigma } , F ^ { \mu \nu } ] = 0 ,"
106,X ^ { 2 } + Y ^ { 2 } - \left( R e \hat { \epsilon } \right) ^ { 2 } = \frac 1 4 \Gamma ^ { 2 }
107,"A _ { i } ( x ) = i g ^ { - 1 } ( x ) \partial _ { i } g ( x ) \; ,"
108,\beta ( g ) \equiv m { \frac { \partial g } { \partial m } } .
109,"\langle f , f \rangle \geq - 2 \langle f , \chi \rangle \langle \chi , f \rangle ."
110,"f _ { ( x , x _ { 0 } ) } ^ { c , L } \equiv f ^ { c } ( x , x _ { 0 } )"
111,"n _ { 1 } \le N / 3 , \quad n _ { 2 } \le 2 N / 3 , \quad 2 n _ { 1 } \le n _ { 2 } ."
112,1 + \epsilon \simeq 1 + \frac { 3 } { 8 } \eta + \frac { 5 7 } { 2 5 6 } \eta ^ { 2 } + \cdots \; .
113,"W _ { 0 } ( x _ { \ell } ) = x _ { 1 } ^ { n + k + 1 } + \cdots + x _ { k } ^ { n + k + 1 } ~ ,"
114,"\widehat { A } = \widehat { A } _ { a b \, i } \, d x ^ { i } \chi ^ { a b } ,"
115,N = e x p [ - \frac { i \pi } { e } \int d ^ { 2 } y \partial _ { i } E _ { i } ( y ) ]
116,"g ( \alpha a + \beta b ) = \alpha g ( a ) + \beta g ( b ) \; ,"
117,\partial _ { - } a _ { 1 2 3 4 } = - e ^ { 4 h } \partial _ { - } a _ { 5 6 7 8 } .
118,"\left\{ J = 1 , \ J ^ { \prime } = 0 , \ J ^ { \prime \prime } = 0 \right\}"
119,{ \partial \Gamma } ( X ) = \{ Y \in d S _ { d } : ( X - Y ) ^ { 2 } = 0 \}
120,"M _ { Q } = \left\vert Z _ { Q } \right\vert = \left\vert Q \cdot A \right\vert ,"
121,"h = { \frac { \alpha ^ { 2 } } { 4 t } } - { \frac { ( t - 1 ) ^ { 2 } } { 4 t } } \, ."
122,\frac { i \gamma ^ { 0 } \gamma \cdot \mathbf { p } } { | \mathbf { p } | }
123,"( z - z _ { 0 } ) ( s - s _ { 0 } ) = \epsilon ,"
124,"m ^ { 2 } = - \frac { \lambda T } { 4 \pi } \operatorname { l n } ( 1 - e ^ { - m / T } ) \; ,"
125,"\Psi = \varphi \left( x ^ { 0 } , x ^ { 3 } \right) \psi \left( x ^ { 1 } , x ^ { 2 } \right) ,"
126,"[ x ^ { \mu } , x ^ { \nu } ] = i \, \theta ^ { \mu \nu }"
127,\int d ^ { 4 } x \Delta _ { 2 } O ^ { \alpha } [ A ] \equiv 0
128,\nabla ^ { 2 } h _ { 0 i } \cong 1 6 \pi G _ { 4 } \rho v _ { i } .
129,\phi ^ { \prime } ( 0 ^ { + } ) = - \phi ^ { \prime } ( 0 ^ { - } ) ~ .
130,"\hat { D } ( K ^ { 2 } ) = K ( 1 - \sqrt { 1 - K ^ { - 2 } } ) \ ,"
131,f _ { \mathbf { I J } } ^ { \mathbf { K } } V _ { \mathbf { K } } = 0
132,"S _ { H } = { \frac { 2 \pi } { n } } a \sqrt { E _ { B H } ( 2 E - k E _ { B H } ) } ,"
133,p _ { l } ( s ) \left( p _ { l } ( s ) + 1 \right) \equiv l ( l + 1 ) - G ^ { 2 } s ^ { 2 } ~ ~ .
134,P ( M ) = M ^ { n } + a _ { 1 } M ^ { n - 1 } + \dots a _ { n } { \cal I } _ { n } = 0 .
135,"\vartheta ( { \bf t } ) : = { \bf t } + \mathrm { \boldmath ~ \theta ~ } ,"
136,F _ { \chi r } = \frac { A } { \sqrt { r ^ { 2 p - 2 } - r _ { 0 } ^ { 2 p - 2 } } } \ .
137,\left\langle v _ { P ^ { \prime } } | v _ { P } \right\rangle = \pi \delta ( P - P ^ { \prime } )
138,\Delta U = \int \partial ^ { \alpha } J _ { \alpha } ^ { ( g h o s t ) } d ^ { 2 } x = 3 g - 3 .
139,S = - \left( \beta \frac { \partial } { \partial \beta } - 1 \right) \operatorname { l n } Z
140,"Q _ { + } = P _ { - } a _ { + } , \; \; \; Q _ { - } = P _ { + } a _ { - } ,"
141,\delta _ { 2 } A _ { \mu } = 0 \quad \delta _ { 2 } \Phi _ { \mu } = D _ { \mu } \chi
142,S _ { j } ^ { \nu } = \left( K ^ { - 1 / 2 } \right) _ { j \mu } U _ { \mu \nu }
143,\xi = e ^ { i \phi } \operatorname { t a n } { \frac { \theta } { 2 } } .
144,M _ { \pm } ^ { 2 } = ( 1 \mp 2 ) \frac { 2 \pi } { V }
145,"P ( x , y ) = \sum _ { p = 1 } ^ { k } \varphi _ { p } \varphi _ { p } ^ { \dagger }"
146,"V _ { \alpha } ( w ) = \frac { { \cal C } _ { 1 , \alpha } } { M ( w ) ^ { 3 } L ( w ) } ,"
147,"S _ { g . f } = S \big | _ { x = \sigma } \, ."
148,"x ^ { A } \rightarrow \tilde { x } ^ { A } = x ^ { A } + \epsilon ^ { A } ,"
149,\hat { R } ^ { 2 } = I + ( q - \frac { 1 } { q } ) \hat { R } .
150,\Omega _ { + } = - { \frac { 1 } { 1 2 } } \Theta \left( \Gamma _ { - } \Gamma _ { + } + 1 \right)
151,"d s ^ { 2 } = d \varphi ^ { 2 } + g _ { a b } ( \xi , { \varphi } ) d \xi ^ { a } d \xi ^ { b }"
152,C Y _ { B } ( W ) = \tilde { N } ^ { n _ { 0 } - n _ { 1 } - n _ { 3 } } \tilde { \omega } ( L )
153,\mathrm { d i m } ( \delta \tilde { f } \circ \varphi ) = N - 2
154,"\{ l _ { i } , l _ { j } \} = C _ { i j } ^ { k } l _ { k } ,"
155,E _ { D } = T _ { p } ^ { \mathrm { n c } } V _ { \mathrm { t u b e } } =
156,\theta _ { e f f } ^ { c r i t } = \frac { 2 \pi } { \sqrt { 3 } } m .
157,"D _ { 3 3 } ( p ) = \frac { \delta _ { p _ { 3 } , 0 } } { p ^ { 2 } + i \epsilon } \ ."
158,"| \frac { 3 } { 2 } , \frac { 3 } { 2 } \rangle = | \uparrow \uparrow \uparrow \rangle"
159,M \geq \tau _ { p } v _ { p } + \tau _ { p ^ { \prime } } v _ { p ^ { \prime } }
160,f _ { \; \; \left[ b c \right. } ^ { a } f _ { \; \; \left. d e \right] } ^ { c } = 0 .
161,( D _ { \mu } D ^ { \mu } \Delta ) ^ { A B } ( z ) = \delta ^ { A B } \delta ( z ) \; .
162,Q ^ { \dagger } \equiv ( p - i W ( q ) ) \psi ^ { \dagger }
163,"{ \frac { d ^ { 2 } \Phi _ { i } } { d x ^ { 2 } } } = ( \alpha - h _ { i } ) \, \Phi _ { i }"
164,d s ^ { 2 } = V ( r ) \left( d \chi + n A \right) ^ { 2 } + \frac { d r ^ { 2 } } { V ( r ) }
165,"u v _ { 1 } = \delta _ { 1 } v _ { 1 } , u v _ { 2 } = \delta _ { 2 } v _ { 2 }"
166,"\alpha _ { ( a , \Lambda ) } ( \mathcal { A ) = A } ( \Lambda \mathcal { O } + a )"
167,"c = \frac { 3 } { 2 } - \frac { 1 2 } { ( k + 2 ) ( k + 4 ) } \, \qquad k = 1 , 2 , 3 , \ldots"
168,F _ { \mu \nu } = \partial _ { \mu } A _ { \nu } - \partial _ { \nu } A _ { \mu } .
169,\gamma = \mathrm { i } \oint _ { C } \langle \psi _ { g } | d | { \psi } _ { g } \rangle
170,"m ( x ) = 1 , \ \ \ A ( x ) = 0 , \ \ \ B ( x ) = 1 , \ \ \ C ( x ) = - x"
171,S = ( \beta \partial _ { \beta } - 1 ) S _ { E } = 0
172,\partial _ { \mu } F ^ { \mu \nu } + m ^ { 2 } A ^ { \nu } = j ^ { \nu }
173,"A ( \lambda ) = \lambda ^ { \mu _ { + } } U ( 2 \theta _ { 1 } \lambda ) ,"
174,"\tau _ { i } = \phi _ { i } ( \xi ) , \; i \in \{ 1 , 2 , 3 , \ldots r \}"
175,"\theta \rightarrow \theta - 4 \pi ,"
176,"S ( v ) S ( u ) = S ( u + v + q ^ { - 1 } u v ) = S ( u ) S ( q ^ { - 1 } u v ) S ( v ) ,"
177,"E = \epsilon E _ { p } = \epsilon \sqrt { p ^ { 2 } + m ^ { 2 } } , \vspace { 0 . 5 i n }"
178,K \equiv * { \frac { ( k + \omega ) \wedge ( k + \omega ) } { 2 ! } }
179,"[ p ( x ) , \varphi ( y ) ] = - i \delta ( x - y )"
180,"V _ { D S } ( \tau ) \, : = \, U _ { 1 } ( \tau ) + { V } _ { D S O } ( \tau ) + U ( \tau ) ,"
181,"k ( x , y , z ) \equiv \sum _ { r , s > 0 } x ^ { - r } y ^ { - s } A _ { r s } z ^ { r + s } \, ."
182,"d \Omega _ { 3 } ^ { 2 } = d \psi ^ { 2 } + s i n ^ { 2 } \psi d \Omega _ { 2 } ^ { 2 } ,"
183,U ( \Lambda _ { W _ { s t } } ( \chi ) ) j = j U ( \Lambda _ { W _ { s t } } ( \chi ) )
184,\dot { U } = - U \kappa ( \dot { t } - \dot { r } _ { * } ) \approx - U 2 \kappa \dot { t } .
185,"\tilde { L } = A ^ { - } A ^ { + } + \lambda _ { 0 } ,"
186,"{ \ \mathcal { V } } _ { 0 } = \mathrm { { \bf ~ 1 } } v ^ { a } T _ { a } ,"
187,"[ J ^ { \mu } , J ^ { \nu } ] = i \epsilon ^ { \mu \nu \lambda } J _ { \lambda } \; ."
188,\Delta x \sim \frac { \hbar } { \Delta E } + \alpha ^ { ' } \Delta E \; .
189,\sigma ^ { 2 } - \frac { m ^ { 2 } } { 4 } = \tilde { \Lambda } ^ { 2 }
190,"d ^ { \prime } ( x ^ { 2 } ) = { \frac { 3 } { 2 } } \, f ( x ^ { 2 } ) ,"
191,F ( Z ) = \int \frac { d ^ { 4 } p } { ( 2 { \pi } ) ^ { 4 } } \tilde { F } ( p ) e ^ { i p Z }
192,"\big [ \, a _ { A B } \, , \, a ^ { C D } \, \big ] = \delta _ { A B } ^ { C D }"
193,"{ \tilde { \cal F } } ^ { \prime } = - { \cal K } ^ { ( 2 ) } \, ."
194,\mathcal { P } = \left( \begin{array} { c c } { 0 } & { 1 } \\ { 1 } & { 0 } \\ \end{array} \right)
195,\delta L ^ { + + } = - \lambda \cdot \partial L ^ { + + } + 2 \Lambda L ^ { + + } \; .
196,"G ^ { \pm } * \tau _ { p } = \delta \omega ^ { 2 \pm p } G ^ { \mp } \, \tau _ { p } ,"
197,"M _ { p } ^ { h o r } = A d S _ { p + 2 } \, \times \, S ^ { D - p - 2 }"
198,\sum _ { P } ( - 1 ) ^ { ( \mathbf { N } ( P ) - 1 ) } ( \mathbf { N } ( P ) - 1 ) !
199,"\int D \phi ^ { * } D \phi F [ \sigma ] e ^ { i S } = \int D \sigma J \, F [ \sigma ] e ^ { i S }"
200,"\beta _ { p } ( n ) = \mu \frac { d p } { d \mu } ,"
201,"G = - \frac { 1 } { 2 } \varepsilon ^ { \mu \nu } J _ { \mu \nu } \, ,"
202,R _ { i j } { \bf X } _ { j } = U ( R ) \cdot { \bf X } _ { i } \cdot U ( R ^ { - 1 } )
203,< K . P _ { 0 } > : = \int
204,"M = \int { d ^ { s } } x { a ^ { \dagger } } ( x ) F ( a ( x ) , { D ^ { \alpha } } a ( x ) ) ,"
205,\fbox { e _ { a } e _ { b } = \pm e _ { c } \Longrightarrow e _ { c } e _ { a } = \pm e _ { b } }
206,"P _ { N } ( x ) = ( x - \phi ) P _ { N - 1 } ( x ) - y P _ { N - 2 } ( x ) ,"
207,"\phi ( \hat { x } _ { \mu } ) = \int d k \, e ^ { i k \hat { x } } \tilde { \phi } ( k ) ."
208,( \partial _ { k _ { 1 } } \cdots \partial _ { k _ { l } } h ) I _ { n }
209,"\sum _ { k = 1 } ^ { N } \ell _ { k } ( h - q _ { k \, x } ) = 0 ."
210,"[ \tau ^ { a } , \tau ^ { b } ] = F _ { c } ^ { a b } \tau ^ { c } ."
211,"f ( x , x _ { 0 } ) \simeq - \frac { q m _ { 0 } } { 2 } e ^ { - m _ { 0 } | x - x _ { 0 } | }"
212,"\lambda _ { \Lambda } = \sum _ { a } s _ { \Lambda a } n _ { a } ,"
213,"S _ { k } ^ { ( \infty , 1 ) } ( n , m _ { 1 } ^ { 2 } , m _ { 2 } ^ { 2 } ) , k = 1 , 2 , . ."
214,J _ { F P } = \operatorname* { d e t } ( - \nabla ^ { i } \nabla _ { i } ) .
215,f _ { 0 } ( r ) = \lambda _ { 0 } + { \frac { \lambda _ { 1 } } { r } }
216,"d s ^ { 2 } = d x _ { R ^ { 5 , 1 } } ^ { 2 } + N d \rho ^ { 2 } + N d s _ { S ^ { 3 } } ^ { 2 } ,"
217,\ell _ { \mu \nu } - h _ { \mu \nu }
218,"\sum _ { n } \left( \lambda _ { n } + \lambda _ { n } ^ { \prime } \right) = \mp 1 \ ,"
219,"\sigma [ a , b ] _ { P } = \epsilon ^ { i j } \partial _ { i } a _ { 0 } \partial _ { j } b _ { 0 }"
220,\pi ^ { \mu } = \frac { \partial { \cal L } } { \partial \dot { A } _ { \mu } } = F ^ { \mu 0 }
221,"G _ { \mu \nu } = G _ { \nu \mu } , \quad B _ { \mu \nu } = - B _ { \nu \mu }"
222,"Q _ { 1 \alpha } = \psi _ { \alpha } ^ { a } V _ { a } \left( X \right) , \quad Q _ { 2 \alpha } ="
223,B _ { R } = \left\{ { \bf x } | \mid { \bf x } \mid < R \right\}
224,H _ { a b \phi \psi } = \frac { 1 } { 3 } ( \Gamma _ { a b } ) _ { \phi \psi } .
225,"\langle \lambda ( x ) \lambda ( y ) \psi ( z ) \psi ( w ) \rangle ,"
226,C ( - 1 ) = - \frac { 1 } { 4 \pi a ^ { 2 } } .
227,g H _ { m i n } = T ^ { 2 } ( \frac { 1 1 g ^ { 2 } } { 1 5 \pi ^ { 2 } } ) ^ { \frac { 1 } { 2 } }
228,J _ { + + } ( m \ge 0 ) J _ { - + } ( n \ge 0 ) = \sum _ { 0 < p < m } H ( m - p ) H ( p + n )
229,\tilde { x } ^ { i } = \frac { 1 } { \tilde { N } } \mathrm { T r } \; \tilde { X } ^ { i }
230,"\lambda \, C ^ { 4 } - g \, C ^ { 2 } + 1 = 0 , \qquad 4 \lambda \, C ^ { 3 } - 2 g \, C = 0 ."
231,"Z _ { N } \left( \Phi \right) = e ^ { \frac { i 2 \pi p } { N } } \Phi , \, \, \Phi \in A _ { p } ."
232,U ( \phi ) = \frac { \lambda } { 8 } ( \phi ^ { 2 } - v ^ { 2 } ) ^ { 2 } + \Delta ( \phi ) ~ ~ .
233,"\Gamma _ { \gamma } = S ( A ^ { \mathrm { c l } } , J ) \;"
234,\Gamma _ { p } = 2 A ^ { 2 } \sqrt { ( p - 1 / 2 ) ^ { 2 } / \Lambda ^ { 2 } - m ^ { 2 } }
235,e w ( x ) \Gamma = \partial ^ { \mu } j _ { \mu } \cdot \Gamma
236,"J _ { z } \equiv L _ { z } + { \frac { 1 } { 2 } } \Sigma _ { z } ,"
237,"A _ { \mu } ^ { n } = \frac { 1 } { e } \partial _ { \mu } \phi \, M _ { n } \, a ( \rho )"
238,a \star _ { + } b = { \cal F } _ { 2 1 } * ( a \otimes b ) * { \cal F } ^ { - 1 }
239,\gamma ^ { a } \gamma ^ { b } + \gamma ^ { b } \gamma ^ { a } = 2 \eta ^ { a b } .
240,"v _ { 1 2 } = D = - { \frac { 1 } { 2 } } \sum _ { j } A ^ { * j } e _ { j } A ^ { j } ,"
241,A _ { p } | _ { \theta = 0 } = r ^ { p } Y _ { p } ( \hat { \phi } )
242,"\{ \Gamma _ { I } , \Gamma _ { J } \} = - 2 \, \delta _ { I J } ~ ."
243,"m ^ { 2 } r ^ { 2 } \leq \| \rho _ { \perp } \| _ { \infty } ^ { 2 } \leq M ^ { 2 } r ^ { 2 } ~ ,"
244,"z = \frac { \phi } { \psi ^ { 6 } } , \quad \quad y = \frac 1 { \phi ^ { 2 } } ,"
245,P ( i ) \sim Z ( i ) \sim e ^ { - F ( i ) } = e ^ { - ( U ( i ) - T S ( i ) ) }
246,"w _ { d - 4 } = { \frac { 1 } { 2 4 } } ( d - 1 ) ( d - 2 ) ( d - 3 ) ( 3 d - 4 ) ~ ~ ~ ,"
247,"H = { \frac { 1 } { 2 } } ( 1 + \mathrm { c o s h } 2 \alpha ) H _ { 0 } ,"
